"","quien","tarea","frecuencia"
"1","1","1",156
"2","1","2",124
"3","1","3",77
"4","1","4",82
"5","1","5",53
"6","1","6",32
"7","1","7",33
"8","1","8",12
"9","1","9",10
"10","1","10",13
"11","1","11",8
"12","1","12",0
"13","1","13",0
"14","2","1",14
"15","2","2",20
"16","2","3",11
"17","2","4",36
"18","2","5",11
"19","2","6",24
"20","2","7",23
"21","2","8",46
"22","2","9",51
"23","2","10",13
"24","2","11",1
"25","2","12",3
"26","2","13",1
"27","3","1",2
"28","3","2",5
"29","3","3",7
"30","3","4",15
"31","3","5",1
"32","3","6",4
"33","3","7",9
"34","3","8",23
"35","3","9",75
"36","3","10",21
"37","3","11",53
"38","3","12",160
"39","3","13",6
"40","4","1",4
"41","4","2",4
"42","4","3",13
"43","4","4",7
"44","4","5",57
"45","4","6",53
"46","4","7",55
"47","4","8",15
"48","4","9",3
"49","4","10",66
"50","4","11",77
"51","4","12",2
"52","4","13",153
